RegionID,GEOID,wheat_pixels,NAME
000000000000000007ce,40047,73.93725490196077,Garfield
000000000000000007c8,40053,61.31372549019607,Grant
00000000000000000079,20191,55.058823529411754,Sumner
000000000000000007a3,40003,54.258823529411764,Alfalfa
00000000000000000989,48369,53.631372549019616,Parmer
000000000000000007b2,40149,51.30588235294118,Washita
000000000000000007c7,40073,49.15294117647059,Kingfisher
000000000000000007ae,40011,47.40392156862745,Blaine
000000000000000000c8,20077,47.14117647058824,Harper
000000000000000007af,40075,44.27058823529411,Kiowa
00000000000000000253,48117,42.64705882352941,Deaf Smith
000000000000000009e0,48069,41.47843137254901,Castro
000000000000000000d8,20155,40.20784313725491,Reno
000000000000000007ba,40141,38.972549019607854,Tillman
000000000000000005ad,08017,38.823529411764724,Cheyenne
000000000000000000da,20113,38.654901960784315,McPherson
000000000000000000bd,20159,38.6,Rice
000000000000000009a9,48207,37.090196078431376,Haskell
00000000000000000978,48357,34.74117647058823,Ochiltree
000000000000000009ca,48195,34.66666666666667,Hansford
000000000000000001de,40017,34.435294117647054,Canadian
00000000000000000271,48487,34.160784313725486,Wilbarger
000000000000000007d7,40039,33.262745098039225,Custer
000000000000000000a5,20145,33.02745098039216,Pawnee
0000000000000000007b,20095,32.80392156862746,Kingman
000000000000000005ce,08121,32.4,Washington
000000000000000000d6,20009,32.13333333333333,Barton
000000000000000007a5,40015,32.07843137254901,Caddo
000000000000000007d2,40033,31.941176470588236,Cotton
000000000000000005cd,08063,31.647058823529417,Kit Carson
000000000000000000c3,20185,30.913725490196075,Stafford
00000000000000000093,20151,29.93333333333333,Pratt
000000000000000000d2,20057,29.38823529411765,Ford
000000000000000005c4,08061,29.09411764705883,Kiowa
000000000000000000a1,20123,28.690196078431374,Mitchell
0000000000000000098d,48275,26.79215686274511,Knox
000000000000000009e2,48253,26.63921568627451,Jones
000000000000000007d1,40139,26.125490196078438,Texas
0000000000000000007a,20173,24.262745098039225,Sedgwick
000000000000000007d5,40071,23.309803921568626,Kay
000000000000000007ac,40151,23.274509803921568,Woods
000000000000000007b3,40093,22.819607843137256,Major
000000000000000000a2,20171,22.219607843137254,Scott
00000000000000000afa,31033,21.054901960784314,Cheyenne
000000000000000000c4,20041,20.988235294117647,Dickinson
00000000000000000096,20071,20.63529411764706,Greeley
000000000000000009c0,48023,20.215686274509803,Baylor
000000000000000007c1,40007,19.02352941176471,Beaver
000000000000000000de,20169,18.929411764705883,Saline
000000000000000007ca,40065,18.149019607843137,Jackson
